exp,sample_idx,cf_variant,delta_target_terms,delta_opposite_terms,direction_accuracy,net_direction_accuracy,prompt_echo_rate,base_mentions_top1_title,cf_mentions_top1_title,title_drift,text_changed,top1_music_id
exp_01,1615,cf_upbeat_electronic,6,0,1,1,0.7143,0,0,0,1,M7GS21LLo3o_znyeIK_Zsz0
exp_01,1615,cf_lyrical_piano,6,0,1,1,1.0,0,0,0,1,M7GS21LLo3o_znyeIK_Zsz0
exp_01,1630,cf_upbeat_electronic,5,0,1,1,0.8,0,1,0,1,OrAAK9GLZ1g_p01Vg30DsSc
exp_01,1630,cf_lyrical_piano,6,0,1,1,1.0,0,1,0,1,OrAAK9GLZ1g_p01Vg30DsSc
exp_01,1669,cf_upbeat_electronic,5,0,1,1,0.625,1,1,0,1,ftZPHUjGvS4_E4EMKzpDQNA
exp_01,1669,cf_lyrical_piano,3,-2,1,1,1.0,1,1,0,1,ftZPHUjGvS4_E4EMKzpDQNA
exp_01,1679,cf_upbeat_electronic,5,0,1,1,0.7143,0,1,0,1,DFWUAZxLu-8_mHyWvSF_D40
exp_01,1679,cf_lyrical_piano,7,1,1,0,1.0,0,0,0,1,DFWUAZxLu-8_mHyWvSF_D40
exp_01,1685,cf_upbeat_electronic,5,0,1,1,0.8182,0,0,0,1,Fpis92dJcj8_BXATArFYK58
exp_01,1685,cf_lyrical_piano,3,-3,1,1,0.6667,0,0,0,1,Fpis92dJcj8_BXATArFYK58
exp_01,1689,cf_upbeat_electronic,7,0,1,1,0.8889,1,1,0,1,SCJrvPr92u4_-ey67-zHusQ
exp_01,1689,cf_lyrical_piano,5,-1,1,1,0.6,1,1,0,1,SCJrvPr92u4_-ey67-zHusQ
exp_01,1698,cf_upbeat_electronic,5,0,1,1,0.875,1,1,0,1,1H5B66DWUhA_MFK-uAl_Y2Q
exp_01,1698,cf_lyrical_piano,7,-1,1,1,0.8571,1,1,0,1,1H5B66DWUhA_MFK-uAl_Y2Q
exp_01,1713,cf_upbeat_electronic,3,0,1,1,0.8333,0,1,0,1,NQCvKe98EZc_7ZCEZ0x-Kwg
exp_01,1713,cf_lyrical_piano,4,-1,1,1,0.75,0,0,0,1,NQCvKe98EZc_7ZCEZ0x-Kwg
exp_01,1753,cf_upbeat_electronic,6,0,1,1,0.7778,1,1,0,1,dfMrsrzxZxc_FL9Vv_mEwN8
exp_01,1753,cf_lyrical_piano,7,-2,1,1,0.8571,1,1,0,1,dfMrsrzxZxc_FL9Vv_mEwN8
exp_01,1801,cf_upbeat_electronic,4,0,1,1,0.625,0,1,0,1,bb9NuSTURg8_bfhO-QLi4lc
exp_01,1801,cf_lyrical_piano,12,-2,1,1,0.8333,0,1,0,1,bb9NuSTURg8_bfhO-QLi4lc
exp_01,1835,cf_upbeat_electronic,2,0,1,1,0.5,0,0,0,1,uoBLFHMxm5Y_NQsAjGcC7Fw
exp_01,1835,cf_lyrical_piano,5,-3,1,1,0.8,0,0,0,1,uoBLFHMxm5Y_NQsAjGcC7Fw
exp_01,1861,cf_upbeat_electronic,4,0,1,1,0.8,0,1,0,1,mjpjzg8cPbk_P0OCoCCMsUc
exp_01,1861,cf_lyrical_piano,7,0,1,1,1.0,0,0,0,1,mjpjzg8cPbk_P0OCoCCMsUc
exp_01,1896,cf_upbeat_electronic,3,0,1,1,0.625,0,0,0,1,kt2lmbNPFk4_C5PUb0hCtj4
exp_01,1896,cf_lyrical_piano,3,0,1,1,1.0,0,0,0,1,kt2lmbNPFk4_C5PUb0hCtj4
exp_01,1897,cf_upbeat_electronic,5,0,1,1,0.625,1,1,0,1,bTOju_n8BJ4_ym5bIhHJvM4
exp_01,1897,cf_lyrical_piano,5,0,1,1,0.8,1,1,0,1,bTOju_n8BJ4_ym5bIhHJvM4
exp_01,1919,cf_upbeat_electronic,4,0,1,1,0.8,0,1,0,1,gwxHiR8bXys_oOmdRlyjFJg
exp_01,1919,cf_lyrical_piano,2,0,1,1,1.0,0,1,0,1,gwxHiR8bXys_oOmdRlyjFJg
exp_01,1950,cf_upbeat_electronic,5,-1,1,1,0.8333,1,1,0,1,XS7C6uA8H7Y_-xufahb_Szs
exp_01,1950,cf_lyrical_piano,2,0,1,1,0.3333,1,1,0,1,XS7C6uA8H7Y_-xufahb_Szs
exp_01,2011,cf_upbeat_electronic,0,0,0,0,0.8333,0,0,0,1,6dJjGYhE8Nc_mRErU4ullys
exp_01,2011,cf_lyrical_piano,10,-6,1,1,0.9,0,0,0,1,6dJjGYhE8Nc_mRErU4ullys
exp_01,2014,cf_upbeat_electronic,3,0,1,1,0.8,0,1,0,1,Se5waJR_jXs_myXLYRhx8mE
exp_01,2014,cf_lyrical_piano,7,-2,1,1,0.8571,0,0,0,1,Se5waJR_jXs_myXLYRhx8mE
exp_01,2058,cf_upbeat_electronic,5,0,1,1,0.625,1,1,0,1,-DCv-969UsQ_qiBH7E0iL1Y
exp_01,2058,cf_lyrical_piano,5,-2,1,1,0.6,1,1,0,1,-DCv-969UsQ_qiBH7E0iL1Y
exp_01,2060,cf_upbeat_electronic,4,0,1,1,0.7143,0,0,0,1,-IUgd4uCUY0_Mu6TO4w-bAc
exp_01,2060,cf_lyrical_piano,4,-3,1,1,0.75,0,0,0,1,-IUgd4uCUY0_Mu6TO4w-bAc
exp_01,2072,cf_upbeat_electronic,1,0,1,1,0.6667,1,1,0,1,yCBk4C1_90A_35Ke6zvmb4k
exp_01,2072,cf_lyrical_piano,7,-2,1,1,0.8571,1,1,0,1,yCBk4C1_90A_35Ke6zvmb4k
exp_01,2088,cf_upbeat_electronic,6,0,1,1,0.6667,1,1,0,1,ZjGQnhHNeHA_E7KpR8WCzfE
exp_01,2088,cf_lyrical_piano,5,1,1,0,0.6,1,1,0,1,ZjGQnhHNeHA_E7KpR8WCzfE
exp_01,2116,cf_upbeat_electronic,4,0,1,1,0.5,1,1,0,1,gZ4g2c5vZec_-c_1948S2sA
exp_01,2116,cf_lyrical_piano,7,-2,1,1,0.8571,1,0,1,1,gZ4g2c5vZec_-c_1948S2sA
exp_01,2172,cf_upbeat_electronic,4,0,1,1,0.6667,1,1,0,1,Hw8xcOo1QEk_i3lH-Ys9JQs
exp_01,2172,cf_lyrical_piano,5,0,1,1,0.6,1,1,0,1,Hw8xcOo1QEk_i3lH-Ys9JQs
exp_01,2176,cf_upbeat_electronic,5,0,1,1,0.5714,1,1,0,1,ZHrwGavCUz8_gsxJLwDHGw4
exp_01,2176,cf_lyrical_piano,7,-1,1,1,0.8571,1,1,0,1,ZHrwGavCUz8_gsxJLwDHGw4
exp_01,2216,cf_upbeat_electronic,6,0,1,1,0.7143,1,1,0,1,f10MT9xme3c_1Nb8tx8oA6w
exp_01,2216,cf_lyrical_piano,5,0,1,1,0.8,1,1,0,1,f10MT9xme3c_1Nb8tx8oA6w
exp_01,2223,cf_upbeat_electronic,6,0,1,1,1.0,0,0,0,1,HbJeCMN8LAc_1p_5GJYcFFY
exp_01,2223,cf_lyrical_piano,5,0,1,1,0.8,0,0,0,1,HbJeCMN8LAc_1p_5GJYcFFY
exp_01,2233,cf_upbeat_electronic,1,0,1,1,0.8333,0,0,0,1,bZoYYIslJUU_lS16wHO4z9Y
exp_01,2233,cf_lyrical_piano,8,-4,1,1,1.0,0,0,0,1,bZoYYIslJUU_lS16wHO4z9Y
exp_01,2242,cf_upbeat_electronic,-1,0,0,0,0.6667,1,1,0,1,jJAuOJf5xO8_F7BqdhrAkkc
exp_01,2242,cf_lyrical_piano,5,-5,1,1,0.6,1,1,0,1,jJAuOJf5xO8_F7BqdhrAkkc
exp_01,2254,cf_upbeat_electronic,6,0,1,1,0.625,0,0,0,1,Fr2ZASMNaa0_fQZL6kaJav0
